age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
35,201515005299,2015-01-18 00:00:00+00:00,POINT (2713004.880333939 257262.2487739903),0,1500 BLOCK ADAMS AVE 1,Frankford,15.0,Black,Male,285465600.0,firearm,2015,19124.0
42,201518003150,2015-01-17 00:00:00+00:00,POINT (2675152.634772613 238249.4899889214),0,5500 BLOCK LUDLOW ST,Cobbs Creek,18.0,Black,Male,285379200.0,firearm,2015,19139.0
48,201512003803,2015-01-16 18:00:00+00:00,POINT (2672858.19423961 221924.7247853587),1,7100 BLOCK THEODORE ST,Elmwood,12.0,Black,Male,285357600.0,firearm,2015,19142.0
14,201516002319,2015-01-16 15:00:00+00:00,POINT (2679458.298933867 237998.4920701692),0,N 46TH ST / MARKET ST,West Powelton,16.0,Black,Male,285346800.0,knife,2015,19104.0
20,201519004317,2015-01-15 18:00:00+00:00,POINT (2669251.127979464 243655.1889136279),0,6500 BLOCK LANSDOWNE AVE,Overbrook,19.0,Black,Male,285271200.0,firearm,2015,19151.0
56,201522003474,2015-01-13 09:00:00+00:00,POINT (2695727.402184998 244589.250558049),0,1500 BLOCK N 12TH ST,Yorktown,22.0,Black,Female,285066000.0,firearm,2015,19122.0
21,201522003014,2015-01-11 15:00:00+00:00,POINT (2687662.053285628 245159.9431525539),0,1400 BLOCK N HOLLYWOOD ST,Brewerytown,22.0,Black,Male,284914800.0,firearm,2015,19121.0
30,201515003063,2015-01-10 23:00:00+00:00,POINT (2729445.675918172 266505.968646476),0,4600 BLOCK VISTA ST,Holmesburg,15.0,Asian,Male,284857200.0,firearm,2015,19136.0
40,201515003062,2015-01-10 23:00:00+00:00,POINT (2729445.675918172 266505.968646476),1,4600 BLOCK VISTA ST,Holmesburg,15.0,White,Male,284857200.0,firearm,2015,19136.0
40,201515003047,2015-01-10 23:00:00+00:00,POINT (2729445.675918172 266505.968646476),0,4600 BLOCK VISTA ST,Holmesburg,15.0,White,Male,284857200.0,firearm,2015,19136.0
22,201424107149,2015-01-10 17:00:00+00:00,POINT (2708222.280000607 253437.3794173877),0,1800 BLOCK E THAYER ST,Harrowgate,24.0,Black,Male,284835600.0,firearm,2015,19134.0
24,201512002152,2015-01-10 01:00:00+00:00,POINT (2677037.956210208 229486.7128473971),0,1900 BLOCK S 56TH ST,Southwest Schuylkill,12.0,Black,Male,284778000.0,firearm,2015,19143.0
26,201512001874,2015-01-08 21:00:00+00:00,POINT (2673060.472318605 233410.2417585394),0,5600 BLOCK BALTIMORE AVE,Kingsessing,12.0,Black,Male,284677200.0,firearm,2015,19143.0
22,201439093706,2015-01-08 18:00:00+00:00,POINT (2695164.799654913 258238.7278693488),0,N 17TH ST / W PIKE ST,Tioga,39.0,Black,Male,284666400.0,firearm,2015,19140.0
18,201512001566,2015-01-07 14:00:00+00:00,POINT (2675777.043944207 226250.7188096287),0,6100 BLOCK GLENMORE AVE,Elmwood,12.0,Black,Male,284565600.0,firearm,2015,19142.0
26,201535001327,2015-01-06 23:00:00+00:00,POINT (2695796.331351856 272905.7732793781),0,6500 BLOCK N 20TH ST,West Oak Lane,35.0,Black,Male,284511600.0,firearm,2015,19138.0
39,201525000857,2015-01-04 03:00:00+00:00,POINT (2698446.528093044 256667.5059818058),0,3700 BLOCK N DELHI ST,Franklinville,25.0,Black,Male,284266800.0,firearm,2015,19140.0
24,201518000620,2015-01-03 19:00:00+00:00,POINT (2674726.71740797 236379.4310151546),1,5400 BLOCK DELANCEY ST,Cobbs Creek,18.0,Black,Male,284238000.0,firearm,2015,19143.0
24,201539000505,2015-01-02 23:00:00+00:00,POINT (2689444.715656671 253353.9687679909),0,N 29TH ST / CHALMERS AV,Allegheny West,39.0,Black,Male,284166000.0,firearm,2015,19132.0
18,201535000101,2015-01-01 05:00:00+00:00,POINT (2703377.16553323 268018.0534065081),0,5800 BLOCK N PHILIP ST,Olney,35.0,Black,Male,284014800.0,firearm,2015,19120.0
29,201424113689,2014-12-31 10:00:00+00:00,POINT (2703501.576413256 251382.2424994744),1,300 BLOCK E CAMBRIA ST,Upper Kensington,24.0,White,Male,283946400.0,firearm,2014,19134.0
45,201422101221,2014-12-30 20:00:00+00:00,POINT (2694731.181475657 250036.4438116337),1,2400 BLOCK N SYDENHAM ST,Stanton,22.0,White,Male,283896000.0,firearm,2014,19132.0
43,201416054996,2014-12-30 11:00:00+00:00,POINT (2676420.884262084 239498.460809742),0,100 BLOCK N 52ND ST,Dunlap,16.0,Black,Female,283863600.0,knife,2014,19139.0
29,201422107501,2014-12-29 22:00:00+00:00,POINT (2690976.871251756 249630.2152355155),0,2300 BLOCK W GLENWOOD AVE,Stanton,22.0,Black,Male,283816800.0,firearm,2014,19121.0
22,201439092558,2014-12-20 03:00:00+00:00,POINT (2695940.110737715 261014.7620704691),1,1600 BLOCK W CAYUGA ST,Logan,39.0,White,Male,282970800.0,firearm,2014,19140.0
29,201424110538,2014-12-19 22:00:00+00:00,POINT (2705212.342827985 252360.2597442204),1,3100 BLOCK HARTVILLE ST,Upper Kensington,24.0,Black,Male,282952800.0,firearm,2014,19134.0
24,201424108122,2014-12-11 23:00:00+00:00,POINT (2706508.121722598 250396.1300272813),0,2000 BLOCK BELLMORE ST,Richmond,24.0,Black,Male,282265200.0,firearm,2014,19134.0
27,201435101813,2014-12-11 21:00:00+00:00,POINT (2699162.351538292 266266.2990164454),0,5400 BLOCK N 11TH ST,Logan,35.0,Black,Male,282258000.0,firearm,2014,19141.0
32,201424107575,2014-12-10 07:00:00+00:00,POINT (2704479.389178243 249987.5387718651),1,1900 BLOCK E STERNER ST,Richmond,24.0,Black,Male,282121200.0,firearm,2014,19134.0
